Team,Player,Age,Position,Passport country,AvgPercentileCB
Hammarby,E. Nyström,21,"LCB, LB",Finland,0.806596045
Rosenborg,I. Vårhus,25,LCB,Norway,0.797109228
Stabæk,S. Bjørneboe,21,LCB,Norway,0.792594162
PK-35 Vantaa,R. Toivanen,23,LCB,Finland,0.789161959
Kolbotn,S. Hørte,20,"RCB, LCB",Norway,0.78913371
Eskilstuna United,M. Plan,23,"LCB, RCB",Sweden,0.787589454
AGF,J. McCormick,27,"RCB, LCB",Australia,0.784338512
Åland United,A. Westerlund,32,"RCB, LCB, CB",Finland,0.781873823
Nordsjælland,J. Davis,34,"RCB, CB, LCB",United States,0.77959275
Häcken,E. Kullberg,30,"LCB, CB",Sweden,0.776798493
Ilves,L. Laurikainen,,RCB,Finland,0.770331921
AGF,S. Obel,24,LCB,Denmark,0.769129002
Linköping,N. Fischer,37,"CB, RCB",Sweden,0.764265537
SC Sand,V. Bruce,27,"LB, LCB, CB",United States,0.760310734
Häcken,L. Gewitz,27,RCB,Denmark,0.760065913
Vålerenga,I. Sigurðardóttir,24,LCB,Iceland,0.759258475
Hammarby,A. Carlsson,26,RCB,Sweden,0.757975518
Nordsjælland,B. Reed,27,"LCB, RCB",United States,0.755409605
ThistedQ,O. Bergmann,20,"RCB, LCB",Denmark,0.755256591
Bayern München,G. Viggosdottir,26,LCB,Iceland,0.75113936
