Team,Player,Age,Position,Passport country,AvgPercentileFB
Häcken,L. Ökvist,24,"LB, LCB",Sweden,0.78114205
Fortuna Hjørring,A. Beard,24,"LCB, LB",Australia,0.745750605
TiPS,A. Nurmi,24,"RCB, RB, RAMF",Finland,0.742366828
Rosengård,K. Veje,30,LB,Denmark,0.732457627
Kristianstad,M. Carlsson,31,"LB, LWB, LCB",Sweden,0.730219935
Djurgården,P. Boakye,32,"LCB, LB",Ghana,0.727885391
Real Betis,B. Folds,23,"LCMF, LW",United States,0.71
Brøndby,J. Tavlo-Petersson,32,"RCB, LCB, RCMF",Denmark,0.707271994
Honka,N. Yang,20,"LB, LCB",Finland,0.701299435
Fortuna Hjørring,J. Cordia,34,"CB, RWB, RCMF",United States,0.700750605
Brøndby,C. Pleidrup,20,"LCB, LB",Denmark,0.685250202
