,Player,Team,Position,Age,Matches played,Minutes played,Birth country,Passport country,Successful defensive actions per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",PAdj Sliding tackles,Shots blocked per 90,PAdj Interceptions,Fouls per 90,Assists per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,Short / medium passes per 90,Long passes per 90,"Average pass length, m",xA per 90,Shot assists per 90,Key passes per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90
0,C. Pleidrup,Brøndby,"LCB, LB",20.0,26,2428,Denmark,Denmark,9.05,64.76,1.18,81.48,0.05,0.13,7.61,0.39,0.04,63.54,78.36,31.47,66.67,2.74,51.31,11.14,22.57,0.11,0.74,0.17,57.94,1.52,25.71,0.65,0.17,0.3,15.58
1,F. Olar-Spânu,Fortuna Hjørring,"LWB, LW, LB",36.0,26,2417,Romania,Romania,9.1,67.13,1.79,63.41,0.0,0.09,6.55,0.35,0.13,45.63,70.18,13.52,53.4,10.72,35.96,4.99,19.29,0.2,1.36,0.7,55.17,5.25,40.0,1.88,1.23,1.53,9.28
2,S. Karsberg-Petersen,KoldingQ,LCB,24.0,25,2336,Denmark,Denmark,10.75,71.9,1.23,51.85,0.09,0.5,5.89,0.32,0.05,58.12,83.78,20.45,65.03,2.82,48.64,9.43,22.03,0.03,0.09,0.14,48.12,0.55,16.67,0.73,0.09,0.0,8.56
3,S. Thygesen,KoldingQ,LB,18.0,25,2334,Denmark,Denmark,14.22,60.56,1.87,48.78,0.0,0.27,5.58,1.64,0.14,42.26,66.02,16.0,47.86,4.97,31.91,6.84,21.88,0.08,0.68,0.36,43.88,2.74,38.33,0.87,0.41,1.14,10.85
4,S. Baattrup,KoldingQ,"RW, LW, RAMF",21.0,26,2263,Denmark,Denmark,6.85,70.23,1.1,25.0,0.0,0.05,2.79,0.32,0.18,30.09,75.87,8.26,63.54,6.53,27.95,1.14,15.74,0.14,1.19,0.64,65.43,1.78,51.28,1.19,1.05,0.27,4.75
5,J. Davis,Nordsjælland,"RCB, CB, LCB",34.0,26,2255,United States,United States,10.9,74.26,3.48,63.16,0.34,0.55,7.37,0.32,0.0,62.61,86.54,21.8,71.85,3.3,56.02,6.6,20.81,0.0,0.0,0.0,58.97,0.23,20.0,0.46,0.05,0.0,9.48
6,O. Bergmann,ThistedQ,"RCB, LCB",20.0,26,2181,Denmark,Denmark,13.39,67.73,2.62,41.82,0.11,0.62,6.87,0.67,0.05,56.41,84.38,23.44,71.95,4.43,48.79,7.58,20.66,0.02,0.1,0.05,58.16,0.38,25.0,0.24,0.05,0.05,10.34
7,M. Pokorny,HB Køge,"RW, RAMF, LW",24.0,26,2141,United States,United States,10.1,66.13,1.83,38.89,0.0,0.0,6.78,0.46,0.05,29.9,74.53,7.26,53.85,8.12,25.48,1.68,17.72,0.1,1.07,0.51,58.0,3.25,43.75,0.51,0.91,0.76,5.23
8,C. Fløe,HB Køge,"CF, LAMF, LW",20.0,26,2080,Denmark,Denmark,9.31,64.03,8.22,55.41,0.35,0.16,4.9,1.2,0.26,26.42,66.14,6.49,57.26,6.02,22.92,1.15,16.53,0.18,1.1,0.68,57.45,2.46,46.81,0.89,1.05,0.99,3.82
9,L. Pedersen,HB Køge,LCB,25.0,24,2054,Denmark,Denmark,8.64,64.6,1.51,48.15,0.13,0.34,5.06,0.5,0.0,38.55,76.42,18.68,60.66,2.64,29.01,9.31,23.96,0.02,0.17,0.17,52.76,0.73,30.77,0.45,0.22,0.06,10.49
